new_ranks,new_rank,new_scores,facts,prediction,original_rank,#facts,original_score,perspective,new_score
"[1, 1]",1.0,"[5.6086416, 5.340901]","[(7281, 3, 75), (24092, 11, 7992), (24092, 3, 75), (24092, 11, 7992), (7281, 3, 706), (24092, 3, 706), (23971, 11, 7992), (7281, 3, 1878), (23971, 3, 1878)]","(7281, 11, 7992)",1,9,6.138865,all,5.4747715
"[1, 1]",1.0,"[9.266357, 8.997521]","[(21822, 3, 1123), (21822, 9, 7903), (5517, 3, 1123), (5517, 3, 1123), (21822, 3, 1005), (21822, 9, 7903), (5517, 3, 1005)]","(5517, 9, 7903)",1,7,9.563314,all,9.131939
"[1, 1]",1.0,"[6.203888, 6.4090023]","[(20946, 11, 7869), (20946, 2, 30), (5756, 2, 30), (5756, 3, 75), (13995, 11, 7869), (13995, 3, 75), (5756, 3, 6), (24457, 11, 7869), (24457, 3, 6)]","(5756, 11, 7869)",2,9,6.1215763,all,6.306445
"[1, 1]",1.0,"[9.280776, 9.182439]","[(5770, 2, 1166), (5770, 2, 1166), (14803, 9, 1470), (14803, 2, 1166), (5770, 2, 1166), (25424, 9, 1470), (25424, 2, 1166)]","(5770, 9, 1470)",1,7,9.176466,all,9.231607
"[2, 1]",1.5,"[5.611641, 6.336026]","[(6419, 3, 1823), (11461, 3, 1823), (11461, 9, 7991), (16014, 9, 7991), (6419, 3, 1823), (16014, 3, 1823), (11461, 9, 7991), (6419, 3, 733), (11461, 3, 733)]","(6419, 9, 7991)",1,9,7.2348595,all,5.9738336
"[2, 2]",2.0,"[5.4743347, 6.3830857]","[(22679, 11, 7984), (22679, 3, 41), (7426, 3, 41), (23891, 11, 7984), (23891, 3, 6), (7426, 3, 6), (23891, 11, 7984), (23891, 3, 58), (7426, 3, 58)]","(7426, 11, 7984)",2,9,6.122612,all,5.92871
"[1, 1]",1.0,"[7.892111, 7.433949]","[(6848, 3, 629), (6848, 3, 629), (22316, 9, 11980), (22316, 3, 629), (6848, 3, 629), (22042, 9, 11980), (22042, 3, 629)]","(6848, 9, 11980)",1,7,8.735666,all,7.6630297
"[1, 1]",1.0,"[7.615408, 7.486087]","[(6115, 3, 138), (15932, 3, 138), (15932, 11, 6729), (15932, 4, 66), (15932, 11, 6729), (6115, 4, 66), (15932, 3, 40), (15932, 11, 6729), (6115, 3, 40)]","(6115, 11, 6729)",1,9,7.6898937,all,7.5507474
"[120, 37]",78.5,"[3.4926195, 4.4464817]","[(20036, 12, 9510), (20036, 3, 9), (7177, 3, 9), (7177, 3, 78), (20036, 12, 9510), (20036, 3, 78), (20036, 12, 9510)]","(7177, 12, 9510)",2,7,6.4412184,all,3.9695506
"[1, 2]",1.5,"[5.9810414, 6.119626]","[(25429, 11, 8038), (25429, 4, 66), (5575, 4, 66), (5575, 3, 75), (10332, 11, 8038), (10332, 3, 75), (20908, 3, 725), (20908, 11, 8038), (5575, 3, 725)]","(5575, 11, 8038)",1,9,6.8954225,all,6.050334
"[1, 2]",1.5,"[6.4696693, 5.992669]","[(7655, 3, 220), (21168, 11, 8038), (21168, 3, 220), (21168, 3, 39), (21168, 11, 8038), (7655, 3, 39), (7655, 3, 40), (13114, 11, 8038), (13114, 3, 40)]","(7655, 11, 8038)",1,9,6.992312,all,6.231169
"[2, 1]",1.5,"[6.9026814, 7.3243065]","[(5717, 3, 2014), (23410, 9, 2010), (23410, 3, 2014), (5717, 2, 2011), (23410, 2, 2011), (23410, 9, 2010), (5717, 3, 40), (23410, 9, 2010), (23410, 3, 40)]","(5717, 9, 2010)",1,9,7.6262035,all,7.113494
"[1, 2]",1.5,"[6.8638926, 5.871152]","[(7080, 1, 1054), (24223, 9, 6144), (24223, 1, 1054), (25079, 9, 6144), (25079, 1, 1054), (7080, 1, 1054), (7080, 1, 1054), (20943, 9, 6144), (20943, 1, 1054)]","(7080, 9, 6144)",1,9,6.4506083,all,6.3675222
"[2, 3]",2.5,"[6.1612415, 5.4146357]","[(22756, 3, 177), (22756, 9, 6144), (5907, 3, 177), (5907, 2, 709), (22756, 9, 6144), (22756, 2, 709), (16113, 9, 6144), (16113, 3, 177), (5907, 3, 177)]","(5907, 9, 6144)",2,9,6.9573603,all,5.7879386
"[2, 1]",1.5,"[7.9612293, 7.034342]","[(16645, 3, 6), (16645, 12, 8340), (7933, 3, 6), (16645, 11, 8340), (16645, 3, 40), (16645, 12, 8340), (7933, 3, 40), (16645, 11, 8340), (7933, 3, 149), (16645, 12, 8340), (16645, 3, 149), (16645, 11, 8340)]","(7933, 12, 8340)",1,12,9.299835,all,7.4977856
"[1, 1]",1.0,"[8.8561535, 8.229898]","[(24537, 2, 1166), (24537, 9, 1470), (5834, 2, 1166), (14803, 9, 1470), (14803, 2, 1166), (5834, 2, 1166), (5834, 2, 1166)]","(5834, 9, 1470)",1,7,8.630572,all,8.543026
